epoch,train_loss,val_accuracy,val_mcc,val_macro_precision,val_macro_recall,val_macro_f1,test_accuracy,test_mcc,test_macro_precision,test_macro_recall,test_macro_f1
1,0.43169201631098986,0.8837209302325582,0.7641748633075861,0.88269434432528,0.8814814814814815,0.8813875026358333,0.9013671875,0.7985767807287502,0.8995769891723648,0.899,0.8989635258328257
2,0.24471984937166175,0.8793604651162791,0.7646738149821747,0.8877112762677704,0.8770370370370371,0.8761848354324635,0.8701171875,0.7507404720724559,0.8839313735746417,0.867,0.8655173285472333
3,0.19019892320114498,0.904796511627907,0.809688782059283,0.906734603455915,0.902962962962963,0.9027374847039089,0.908203125,0.8216380511966762,0.9126461413045671,0.909,0.9087985359659487
4,0.11628538603545166,0.9106104651162791,0.8188793441537588,0.9099911971830986,0.9088888888888889,0.9088276070335342,0.9248046875,0.8467471606389622,0.9237474905733715,0.923,0.922966028018356
5,0.07584807216771879,0.9106104651162791,0.8179797730328722,0.9090909090909092,0.9088888888888889,0.9088776392147179,0.921875,0.8400268812903088,0.92002688172043,0.92,0.9199987199795197
