epoch,train_loss,val_accuracy,val_mcc,val_macro_precision,val_macro_recall,val_macro_f1,test_accuracy,test_mcc,test_macro_precision,test_macro_recall,test_macro_f1
1,0.263161071,0.896802326,0.801554512,0.906829742,0.894814815,0.894032428,0.897460938,0.802237611,0.907332396,0.895,0.894199194
2,0.109222459,0.912306202,0.841588407,0.924585219,0.917037037,0.916666667,0.918945313,0.846967008,0.926995901,0.92,0.919670972
3,0.053745497,0.94622093,0.891372597,0.946187976,0.945185185,0.945154369,0.9453125,0.889203016,0.945203831,0.944,0.943962118
4,0.018140072,0.957848837,0.914330976,0.957293975,0.957037037,0.957031001,0.946289063,0.896581173,0.948581361,0.948,0.947983147
5,0.008078589,0.958575581,0.915564598,0.95778682,0.957777778,0.957777569,0.948242188,0.894044703,0.947044704,0.947,0.946998675
