epoch,train_loss,val_accuracy,val_mcc,val_macro_precision,val_macro_recall,val_macro_f1,test_accuracy,test_mcc,test_macro_precision,test_macro_recall,test_macro_f1
1,0.44496283906822404,0.8524709302325582,0.7100064734079791,0.8604594330400782,0.8496296296296296,0.8484916334542415,0.8662109375,0.7372462099232681,0.8743333154588315,0.863,0.8619551384428741
2,0.2855016771703959,0.8502906976744186,0.7168296385050072,0.8697709948629777,0.8474074074074074,0.8450648042501605,0.837890625,0.6949952592882602,0.8615407263721229,0.834,0.8307773233457973
3,0.1996957745985128,0.8953488372093024,0.7870122074143097,0.8936789499697952,0.8933333333333333,0.8933099171285879,0.9091796875,0.814718899243635,0.9077192166982557,0.907,0.9069589689052873
4,0.14103769229259341,0.9011627906976745,0.8002204400392153,0.9009629944741883,0.8992592592592592,0.8991521308781235,0.9091796875,0.8216845366666314,0.9116862669494248,0.9099999999999999,0.9099077455314242
5,0.10217065195126149,0.9040697674418605,0.8053499503198028,0.9031282377293495,0.9022222222222223,0.9021672533703435,0.9189453125,0.8344824703421063,0.917482609897041,0.917,0.916976006065753
