epoch,train_loss,val_accuracy,val_mcc,val_macro_precision,val_macro_recall,val_macro_f1,test_accuracy,test_mcc,test_macro_precision,test_macro_recall,test_macro_f1
1,0.3713077649163703,0.8931686046511628,0.7865856868588185,0.8954867460895194,0.8911111111111112,0.8908090911541884,0.8916015625,0.7814601513826578,0.8924678458862509,0.889,0.8887542581562672
2,0.1710498746794959,0.903343023255814,0.8043065821542477,0.9028262248295544,0.9014814814814816,0.9013991924124332,0.9033203125,0.8047099982046073,0.9037145768145007,0.901,0.9008333007786089
3,0.0828663343466663,0.8946220930232558,0.791485690693586,0.8989183764495986,0.8925925925925926,0.8921650989519494,0.8876953125,0.7778825501602531,0.892922897301181,0.885,0.8844173478505144
4,0.03587562094423144,0.9113372093023255,0.8192592592592592,0.9096296296296297,0.9096296296296297,0.9096296296296297,0.908203125,0.8121624487362457,0.9061624649859944,0.906,0.905990599059906
5,0.01042793223289967,0.9113372093023255,0.8193887531465017,0.9097591337509139,0.9096296296296296,0.9096224886904645,0.90625,0.808,0.904,0.904,0.904
