model,preprocessing,epoch,train_loss,val_accuracy,val_mcc,val_macro_precision,val_macro_recall,val_macro_f1,test_accuracy,test_mcc,test_macro_precision,test_macro_recall,test_macro_f1
BERT,Yes,1,0.36842155947039523,0.8718507751937985,0.7556599782633279,0.8831410058206062,0.8725925925925926,0.8717095885203838,0.8837890625,0.77025358294974,0.8892982821830131,0.881,0.8803624515040651
BERT,Yes,2,0.16846906376692156,0.8602228682170543,0.7415573954157234,0.8810959704513679,0.8607407407407408,0.8588560331538169,0.865234375,0.7473470993134014,0.8857235406437534,0.862,0.8598449763564568
BERT,Yes,3,0.08712176184538596,0.909156976744186,0.818619173037878,0.9112206468763846,0.9074074074074074,0.9071922563968597,0.9052734375,0.8136681021625668,0.9076698155645524,0.9059999999999999,0.9059036453328209
BERT,Yes,4,0.04492843659342422,0.9156976744186046,0.828672116422107,0.9145982081050612,0.914074074074074,0.9140469086526112,0.90625,0.8140146523956159,0.9070146525274909,0.907,0.906999162992467
BERT,Yes,5,0.0137580432176037,0.906734496124031,0.8163285469500284,0.9081803994389681,0.9081481481481481,0.9081463337547409,0.9130859375,0.8282385670659208,0.9142386014344263,0.914,0.9139876142164471
