model,preprocessing,epoch,train_loss,val_accuracy,val_mcc,val_macro_precision,val_macro_recall,val_macro_f1,test_accuracy,test_mcc,test_macro_precision,test_macro_recall,test_macro_f1
DistilBERT,No,1,0.26929927136904247,0.9069767441860465,0.8201636993113441,0.9150376903345032,0.9051851851851852,0.9046191278390713,0.8994140625,0.8041002126744556,0.9071644534150534,0.897,0.8963531399464055
DistilBERT,No,2,0.10058150773790354,0.9285368217054264,0.8635084029979248,0.933142482256814,0.9303703703703703,0.9302587844254511,0.9423828125,0.884980322215042,0.9439853575441267,0.9410000000000001,0.940900653999373
DistilBERT,No,3,0.03739972467834984,0.934593023255814,0.8692498758411514,0.9359203922979946,0.9333333333333333,0.9332342746110004,0.9326171875,0.8652054677290635,0.9342114277194128,0.931,0.9308721826657489
DistilBERT,No,4,0.015714793830920826,0.9447674418604651,0.887504806969484,0.9438011086109435,0.9437037037037037,0.9437006145741879,0.953125,0.9040650950303477,0.9520650973740219,0.952,0.9519982719377897
DistilBERT,No,5,0.0032072176114525063,0.9491279069767442,0.8963592526824108,0.9482111067453096,0.9481481481481482,0.9481463272235623,0.9521484375,0.9020162364383851,0.9510162365845171,0.951,0.950999558996031
